threshold,accuracy,balanced_accuracy,precision_human,recall_human,f1_human,empty_accuracy,false_alarms,missed_human_windows,detected_human_windows
0.44,0.9642857142857143,0.9647887323943662,1.0,0.9295774647887324,0.9635036496350365,1.0,0,10,132
0.45,0.9607142857142857,0.9612676056338028,1.0,0.9225352112676056,0.9597069597069597,1.0,0,11,131
0.46,0.9571428571428572,0.9577464788732395,1.0,0.9154929577464789,0.9558823529411765,1.0,0,12,130
0.47,0.9571428571428572,0.9577464788732395,1.0,0.9154929577464789,0.9558823529411765,1.0,0,12,130
0.48,0.9535714285714286,0.954225352112676,1.0,0.9084507042253521,0.9520295202952029,1.0,0,13,129
0.49,0.9535714285714286,0.954225352112676,1.0,0.9084507042253521,0.9520295202952029,1.0,0,13,129
0.5,0.9464285714285714,0.9471830985915493,1.0,0.8943661971830986,0.9442379182156134,1.0,0,15,127
0.51,0.9428571428571428,0.943661971830986,1.0,0.8873239436619719,0.9402985074626866,1.0,0,16,126
0.52,0.9392857142857143,0.9401408450704225,1.0,0.8802816901408451,0.9363295880149812,1.0,0,17,125
0.53,0.9357142857142857,0.9366197183098591,1.0,0.8732394366197183,0.9323308270676691,1.0,0,18,124
0.54,0.9357142857142857,0.9366197183098591,1.0,0.8732394366197183,0.9323308270676691,1.0,0,18,124
0.55,0.9321428571428572,0.9330985915492958,1.0,0.8661971830985915,0.9283018867924528,1.0,0,19,123
0.56,0.9321428571428572,0.9330985915492958,1.0,0.8661971830985915,0.9283018867924528,1.0,0,19,123
0.57,0.9321428571428572,0.9330985915492958,1.0,0.8661971830985915,0.9283018867924528,1.0,0,19,123
0.58,0.9285714285714286,0.9295774647887324,1.0,0.8591549295774648,0.9242424242424242,1.0,0,20,122
0.59,0.9285714285714286,0.9295774647887324,1.0,0.8591549295774648,0.9242424242424242,1.0,0,20,122
0.6,0.9285714285714286,0.9295774647887324,1.0,0.8591549295774648,0.9242424242424242,1.0,0,20,122
0.61,0.925,0.926056338028169,1.0,0.852112676056338,0.9201520912547528,1.0,0,21,121
0.62,0.9214285714285714,0.9225352112676056,1.0,0.8450704225352113,0.916030534351145,1.0,0,22,120
0.63,0.9214285714285714,0.9225352112676056,1.0,0.8450704225352113,0.916030534351145,1.0,0,22,120
0.64,0.9178571428571428,0.9190140845070423,1.0,0.8380281690140845,0.9118773946360154,1.0,0,23,119
0.65,0.9142857142857143,0.9154929577464789,1.0,0.8309859154929577,0.9076923076923077,1.0,0,24,118
0.66,0.9107142857142857,0.9119718309859155,1.0,0.823943661971831,0.9034749034749034,1.0,0,25,117
0.67,0.9107142857142857,0.9119718309859155,1.0,0.823943661971831,0.9034749034749034,1.0,0,25,117
0.68,0.9035714285714286,0.9049295774647887,1.0,0.8098591549295775,0.8949416342412452,1.0,0,27,115
0.69,0.8964285714285715,0.897887323943662,1.0,0.795774647887324,0.8862745098039215,1.0,0,29,113
0.7,0.8964285714285715,0.897887323943662,1.0,0.795774647887324,0.8862745098039215,1.0,0,29,113
0.71,0.8892857142857142,0.8908450704225352,1.0,0.7816901408450704,0.8774703557312253,1.0,0,31,111
0.72,0.8821428571428571,0.8838028169014085,1.0,0.7676056338028169,0.8685258964143426,1.0,0,33,109
0.73,0.8785714285714286,0.880281690140845,1.0,0.7605633802816901,0.864,1.0,0,34,108
0.74,0.875,0.8767605633802817,1.0,0.7535211267605634,0.8594377510040161,1.0,0,35,107
0.75,0.8714285714285714,0.8732394366197183,1.0,0.7464788732394366,0.8548387096774194,1.0,0,36,106
0.76,0.8678571428571429,0.869718309859155,1.0,0.7394366197183099,0.8502024291497976,1.0,0,37,105
0.77,0.8678571428571429,0.869718309859155,1.0,0.7394366197183099,0.8502024291497976,1.0,0,37,105
0.78,0.8678571428571429,0.869718309859155,1.0,0.7394366197183099,0.8502024291497976,1.0,0,37,105
0.79,0.8607142857142858,0.8626760563380282,1.0,0.7253521126760564,0.8408163265306122,1.0,0,39,103
0.8,0.8571428571428571,0.8591549295774648,1.0,0.7183098591549296,0.8360655737704918,1.0,0,40,102
0.81,0.8571428571428571,0.8591549295774648,1.0,0.7183098591549296,0.8360655737704918,1.0,0,40,102
0.82,0.8571428571428571,0.8591549295774648,1.0,0.7183098591549296,0.8360655737704918,1.0,0,40,102
0.83,0.85,0.852112676056338,1.0,0.704225352112676,0.8264462809917356,1.0,0,42,100
0.84,0.8428571428571429,0.8450704225352113,1.0,0.6901408450704225,0.8166666666666667,1.0,0,44,98
0.85,0.8428571428571429,0.8450704225352113,1.0,0.6901408450704225,0.8166666666666667,1.0,0,44,98
0.86,0.8321428571428572,0.8345070422535211,1.0,0.6690140845070423,0.8016877637130801,1.0,0,47,95
0.87,0.8321428571428572,0.8345070422535211,1.0,0.6690140845070423,0.8016877637130801,1.0,0,47,95
0.88,0.825,0.8274647887323944,1.0,0.6549295774647887,0.7914893617021277,1.0,0,49,93
0.89,0.8214285714285714,0.823943661971831,1.0,0.647887323943662,0.7863247863247863,1.0,0,50,92
0.9,0.8214285714285714,0.823943661971831,1.0,0.647887323943662,0.7863247863247863,1.0,0,50,92
0.91,0.8142857142857143,0.8169014084507042,1.0,0.6338028169014085,0.7758620689655172,1.0,0,52,90
0.92,0.8107142857142857,0.8133802816901409,1.0,0.6267605633802817,0.7705627705627706,1.0,0,53,89
0.93,0.8107142857142857,0.8133802816901409,1.0,0.6267605633802817,0.7705627705627706,1.0,0,53,89
0.94,0.8107142857142857,0.8133802816901409,1.0,0.6267605633802817,0.7705627705627706,1.0,0,53,89
0.95,0.7964285714285714,0.7992957746478873,1.0,0.5985915492957746,0.748898678414097,1.0,0,57,85
0.96,0.7857142857142857,0.7887323943661972,1.0,0.5774647887323944,0.7321428571428571,1.0,0,60,82
0.97,0.7785714285714286,0.7816901408450705,1.0,0.5633802816901409,0.7207207207207207,1.0,0,62,80
0.98,0.7678571428571429,0.7711267605633803,1.0,0.5422535211267606,0.7031963470319634,1.0,0,65,77
0.99,0.7607142857142857,0.7640845070422535,1.0,0.528169014084507,0.6912442396313364,1.0,0,67,75
